Token,DocuScope Category,Count,Document Count,Frequency (per mil. tokens),% of Documents
semantically,ExpertVocabulary,63,42,0.35,0.10
of extraordinary,PurposePlan,63,60,0.35,0.14
remains unknown,PurposePlan,63,62,0.35,0.15
statism,ExpertVocabulary,63,41,0.35,0.10
percentiles,ExpertVocabulary,63,47,0.35,0.11
maker's,ExpertVocabulary,63,51,0.35,0.12
we obtain,ReaderDirectedMetadiscourseFP,63,45,0.35,0.11
".
voters",CharacterTypes,63,45,0.35,0.11
can match,ConfidenceHedged,63,61,0.35,0.14
can sign,ConfidenceHedged,63,61,0.35,0.14
569,InformationQuantities,63,49,0.35,0.11
675,InformationQuantities,63,50,0.35,0.12
825,InformationQuantities,63,50,0.35,0.12
sergeants,CharacterTypes,63,46,0.35,0.11
appearing as,InformationComparison,63,60,0.35,0.14
three-inch,InformationQuantities,63,54,0.35,0.13
i conducted,MethodsResultsDiscussion,63,59,0.35,0.14
chemical composition,ExpertVocabulary,63,53,0.35,0.12
low-density,ExpertVocabulary,63,44,0.35,0.10
amphetamines,ExpertVocabulary,63,52,0.35,0.12
private person,CharacterTypes,63,51,0.35,0.12
the web of,ExpertVocabulary,63,57,0.35,0.13
moot point,ExpertVocabulary,63,60,0.35,0.14
interior design,ExpertVocabulary,63,56,0.35,0.13
subplot,ExpertVocabulary,63,54,0.35,0.13
multimillion,InformationQuantities,63,58,0.35,0.14
477,InformationQuantities,63,54,0.35,0.13
cleaner than,InformationComparison,63,59,0.35,0.14
moorish,ExpertVocabulary,63,46,0.35,0.11
a strand of,ExpertVocabulary,63,61,0.35,0.14
ballplayers,CharacterTypes,63,51,0.35,0.12
have something to say,ConfidenceHigh,63,61,0.35,0.14
school of economics,ExpertVocabulary,63,54,0.35,0.13
handcrafted,ExpertVocabulary,63,58,0.35,0.14
thinnest,InformationComparison,63,60,0.35,0.14
surveyor,CharacterTypes,63,55,0.35,0.13
".
the couple",ExpertVocabulary,63,57,0.35,0.13
pigmentation,ExpertVocabulary,63,45,0.35,0.11
prison guards,CharacterTypes,63,41,0.35,0.10
the lady's,CharacterTypes,63,50,0.35,0.12
must have made,Reasoning,63,63,0.35,0.15
true god,CharacterTypes,63,53,0.35,0.12
actually true,ConfidenceHigh,63,61,0.35,0.14
military aircraft,ExpertVocabulary,63,54,0.35,0.13
unedited,ExpertVocabulary,63,57,0.35,0.13
in everyone's,Reasoning,63,63,0.35,0.15
fair question,Reasoning,63,60,0.35,0.14
biometrics,ExpertVocabulary,63,43,0.35,0.10
lead-up,ExpertVocabulary,63,48,0.35,0.11
".
guy",CharacterTypes,63,45,0.35,0.11
second man,CharacterTypes,63,53,0.35,0.12
retractable,ExpertVocabulary,63,53,0.35,0.12
".
i knew that",ConfidenceHigh,63,60,0.35,0.14
starches,ExpertVocabulary,63,42,0.35,0.10
can shoot,ConfidenceHedged,63,57,0.35,0.13
that shows that,Reasoning,63,60,0.35,0.14
".
91",InformationQuantities,63,63,0.35,0.15
".
87",InformationQuantities,63,63,0.35,0.15
first degree,InformationQuantities,63,50,0.35,0.12
".
captain",CharacterTypes,63,48,0.35,0.11
newsman,CharacterTypes,63,49,0.35,0.11
look gorgeous,CharacterTypes,63,55,0.35,0.13
big shots,CharacterTypes,63,58,0.35,0.14
about the whole thing,Reasoning,63,60,0.35,0.14
as tough as,InformationComparison,63,63,0.35,0.15
could let,ConfidenceHedged,63,61,0.35,0.14
just not as,InformationComparison,63,61,0.35,0.14
plenty of times,ConfidenceHigh,63,58,0.35,0.14
you got to have,CharacterTypes,63,59,0.35,0.14
for there is,Reasoning,62,52,0.35,0.12
we have seen that,ReaderDirectedMetadiscourse,62,56,0.35,0.13
can maintain,ConfidenceHedged,62,61,0.35,0.14
in table 5,MethodsResultsDiscussion,62,52,0.35,0.12
we have been able to,ReaderDirectedMetadiscourseFP,62,62,0.35,0.15
then it must,Reasoning,62,62,0.35,0.15
relevant data,MethodsResultsDiscussion,62,57,0.35,0.13
perchance,ConfidenceHedged,62,50,0.35,0.12
social roles,ExpertVocabulary,62,44,0.35,0.10
general knowledge,ExpertVocabulary,62,43,0.35,0.10
student union,ExpertVocabulary,62,49,0.35,0.11
irishmen,CharacterTypes,62,45,0.35,0.11
local economies,ExpertVocabulary,62,56,0.35,0.13
rail system,ExpertVocabulary,62,44,0.35,0.10
in order to reduce,PurposePlan,62,61,0.35,0.14
equal the,InformationComparison,62,60,0.35,0.14
a load,ExpertVocabulary,62,54,0.35,0.13
".
different",InformationComparison,62,60,0.35,0.14
the objectives of,PurposePlan,62,58,0.35,0.14
desperate need,PurposePlan,62,60,0.35,0.14
come as no surprise,ConfidenceHigh,62,60,0.35,0.14
the purpose is,PurposePlan,62,60,0.35,0.14
survey research,Reasoning,62,47,0.35,0.11
on a whole,ConfidenceHedged,62,62,0.35,0.15
major factor,ExpertVocabulary,62,60,0.35,0.14
even at a,Reasoning,62,61,0.35,0.14
slates,ExpertVocabulary,62,50,0.35,0.12
feel confident,ConfidenceHigh,62,61,0.35,0.14
behemoths,CharacterTypes,62,59,0.35,0.14
you will understand,ReaderDirectedMetadiscourse,62,52,0.35,0.12
".
one reason",Reasoning,62,62,0.35,0.15
can demonstrate,ConfidenceHedged,62,58,0.35,0.14
527,InformationQuantities,62,49,0.35,0.11
to improve the quality,PurposePlan,62,49,0.35,0.11
posits,CitationControversy,62,56,0.35,0.13
roles and responsibilities,CharacterTypes,62,49,0.35,0.11
".
for the most part",ConfidenceHedged,62,60,0.35,0.14
our hypothesis,ReaderDirectedMetadiscourseFP,62,50,0.35,0.12
he cited,CitationNeutral,62,58,0.35,0.14
instrument in,ExpertVocabulary,62,58,0.35,0.14
may present,ConfidenceHedged,62,56,0.35,0.13
a metaphor for,ExpertVocabulary,62,61,0.35,0.14
in this novel,ReaderDirectedMetadiscourse,62,43,0.35,0.10
preteen,CharacterTypes,62,59,0.35,0.14
the reasons that,Reasoning,62,60,0.35,0.14
a practicing,CharacterTypes,62,59,0.35,0.14
limiting factor,ExpertVocabulary,62,54,0.35,0.13
deliberating,PurposePlan,62,55,0.35,0.13
common type,Reasoning,62,54,0.35,0.13
he cites,CitationNeutral,62,60,0.35,0.14
close relatives,CharacterTypes,62,55,0.35,0.13
a forced,ExpertVocabulary,62,60,0.35,0.14
"""
in addition to",ReaderDirectedMetadiscourse,62,61,0.35,0.14
obsidian,ExpertVocabulary,62,49,0.35,0.11
telephone numbers,ExpertVocabulary,62,55,0.35,0.13
the reaction to,Reasoning,62,62,0.35,0.15
as successful as,InformationComparison,62,60,0.35,0.14
pickers,CharacterTypes,62,54,0.35,0.13
psyches,ExpertVocabulary,62,59,0.35,0.14
in this discussion,ReaderDirectedMetadiscourse,62,58,0.35,0.14
what is more,ReaderDirectedMetadiscourse,62,57,0.35,0.13
simple truth,ConfidenceHigh,62,55,0.35,0.13
revealed to be,CitationAuthority,62,48,0.35,0.11
franc,ExpertVocabulary,62,41,0.35,0.10
to match .,InformationComparison,62,60,0.35,0.14
raises the question,PurposePlan,62,58,0.35,0.14
major reason,Reasoning,62,59,0.35,0.14
bavarian,ExpertVocabulary,62,53,0.35,0.12
make the argument,Reasoning,62,60,0.35,0.14
family needs,PurposePlan,62,48,0.35,0.11
".
generally ,",ReaderDirectedMetadiscourse,62,61,0.35,0.14
political analysis,Reasoning,62,53,0.35,0.12
could prevent,ConfidenceHedged,62,61,0.35,0.14
maven,CharacterTypes,62,41,0.35,0.10
"so , as",ReaderDirectedMetadiscourse,62,60,0.35,0.14
is familiar with,CharacterTypes,62,62,0.35,0.15
his quest,PurposePlan,62,60,0.35,0.14
considered to,CitationControversy,62,56,0.35,0.13
political candidates,CharacterTypes,62,54,0.35,0.13
causing them to,Reasoning,62,58,0.35,0.14
numerals,ExpertVocabulary,62,54,0.35,0.13
pursue an,PurposePlan,62,60,0.35,0.14
".
nine",InformationQuantities,62,59,0.35,0.14
soft as,InformationComparison,62,61,0.35,0.14
leak in,ExpertVocabulary,62,58,0.35,0.14
double-blind,Reasoning,62,42,0.35,0.10
being judged,PurposePlan,62,55,0.35,0.13
first principles,Reasoning,62,46,0.35,0.11
".
to see",PurposePlan,62,60,0.35,0.14
discussion groups,ExpertVocabulary,62,46,0.35,0.11
heavyweights,ExpertVocabulary,62,59,0.35,0.14
it followed,Reasoning,62,60,0.35,0.14
like a horse,InformationComparison,62,60,0.35,0.14
epileptic,CharacterTypes,62,50,0.35,0.12
to be certain,ConfidenceHigh,62,59,0.35,0.14
minutely,InformationQuantities,62,58,0.35,0.14
vacationers,CharacterTypes,62,54,0.35,0.13
politicos,CharacterTypes,62,57,0.35,0.13
as white as,InformationComparison,62,60,0.35,0.14
dependant,CharacterTypes,62,55,0.35,0.13
odorless,ExpertVocabulary,62,58,0.35,0.14
carte blanche,ExpertVocabulary,62,60,0.35,0.14
840,InformationQuantities,62,47,0.35,0.11
absolute certainty,ConfidenceHigh,62,60,0.35,0.14
tri-state,ExpertVocabulary,62,49,0.35,0.11
fattest,InformationComparison,62,50,0.35,0.12
previously mentioned,ReaderDirectedMetadiscourse,62,60,0.35,0.14
writing her,CitationNeutral,62,60,0.35,0.14
as nice as,InformationComparison,62,58,0.35,0.14
comic relief,ExpertVocabulary,62,59,0.35,0.14
realized there was,ConfidenceHigh,62,62,0.35,0.15
tend to go,ConfidenceHedged,62,60,0.35,0.14
can convince,ConfidenceHedged,62,62,0.35,0.15
can resist,ConfidenceHedged,62,59,0.35,0.14
could act,ConfidenceHedged,62,61,0.35,0.14
".
hundreds",InformationQuantities,62,60,0.35,0.14
i hardly know,ConfidenceHigh,62,60,0.35,0.14
board chairman,CharacterTypes,62,50,0.35,0.12
neuroscientists,CharacterTypes,62,41,0.35,0.10
venture capitalist,CharacterTypes,62,56,0.35,0.13
bantam,CharacterTypes,62,42,0.35,0.10
known better,InformationComparison,62,59,0.35,0.14
two grand,InformationQuantities,62,48,0.35,0.11
and because of that,Reasoning,62,62,0.35,0.15
pygmy,CharacterTypes,62,45,0.35,0.11
i know to,ConfidenceHigh,62,61,0.35,0.14
pharaohs,CharacterTypes,62,41,0.35,0.10
clavicle,ExpertVocabulary,62,50,0.35,0.12
realising,ConfidenceHigh,62,53,0.35,0.12
lowercase,ExpertVocabulary,62,42,0.35,0.10
""" o """,ExpertVocabulary,62,49,0.35,0.11
get every,Reasoning,62,61,0.35,0.14
".
89",InformationQuantities,62,62,0.35,0.15
".
90",InformationQuantities,62,62,0.35,0.15
".
92",InformationQuantities,62,62,0.35,0.15
could fix,ConfidenceHedged,62,60,0.35,0.14
like the wind,InformationComparison,62,54,0.35,0.13
as dark as,InformationComparison,62,60,0.35,0.14
adulterer,CharacterTypes,62,44,0.35,0.10
you bet your,ConfidenceHigh,62,58,0.35,0.14
criminal defense attorney,CharacterTypes,62,55,0.35,0.13
flavour,ExpertVocabulary,62,52,0.35,0.12
small scale,ExpertVocabulary,61,58,0.34,0.14
"in point of fact ,",ReaderDirectedMetadiscourse,61,56,0.34,0.13
".
the present study",PurposePlan,61,56,0.34,0.13
while studying,ExpertVocabulary,61,59,0.34,0.14
in order to become,PurposePlan,61,58,0.34,0.14
is distinct,ConfidenceHigh,61,57,0.34,0.13
expansionist,CharacterTypes,61,47,0.34,0.11
for all intents and purposes,ReaderDirectedMetadiscourse,61,59,0.34,0.14
inverse relationship,ExpertVocabulary,61,51,0.34,0.12
in the money,CharacterTypes,61,48,0.34,0.11
for our purposes,ReaderDirectedMetadiscourseFP,61,53,0.34,0.12
subsystems,ExpertVocabulary,61,42,0.34,0.10
legal systems,ExpertVocabulary,61,46,0.34,0.11
our priorities,PurposePlan,61,58,0.34,0.14
largest economy,ExpertVocabulary,61,51,0.34,0.12
after studying,ExpertVocabulary,61,61,0.34,0.14
under secretary,CharacterTypes,61,45,0.34,0.11
came of,Reasoning,61,59,0.34,0.14
analytically,Reasoning,61,58,0.34,0.14
in order to facilitate,PurposePlan,61,55,0.34,0.13
but also with,ReaderDirectedMetadiscourse,61,59,0.34,0.14
attributes the,Reasoning,61,61,0.34,0.14
understanding as,CitationControversy,61,58,0.34,0.14
chaucer,ExpertVocabulary,61,45,0.34,0.11
396,InformationQuantities,61,49,0.34,0.11
natural order,ExpertVocabulary,61,54,0.34,0.13
districts of,ExpertVocabulary,61,43,0.34,0.10
were linked to,ExpertVocabulary,61,56,0.34,0.13
surveys were,Reasoning,61,49,0.34,0.11
with the number of,InformationQuantities,61,60,0.34,0.14
possible explanations,ConfidenceHedged,61,57,0.34,0.13
significant problems,PurposePlan,61,60,0.34,0.14
it is recommended that,CitationAuthority,61,53,0.34,0.12
grade of,ExpertVocabulary,61,50,0.34,0.12
".
multiple",ExpertVocabulary,61,52,0.34,0.12
purposive,PurposePlan,61,48,0.34,0.11
it is thus,Reasoning,61,59,0.34,0.14
ombudsman,CharacterTypes,61,47,0.34,0.11
are reviewed,ReaderDirectedMetadiscourse,61,56,0.34,0.13
has caused a,Reasoning,61,59,0.34,0.14
the study found,PurposePlan,61,58,0.34,0.14
there is no question,ConfidenceHigh,61,60,0.34,0.14
field studies,ExpertVocabulary,61,57,0.34,0.13
as varied as,InformationComparison,61,57,0.34,0.13
neurotransmitter,ExpertVocabulary,61,48,0.34,0.11
cautiously optimistic,ConfidenceHedged,61,57,0.34,0.13
432,InformationQuantities,61,49,0.34,0.11
473,InformationQuantities,61,52,0.34,0.12
health needs,PurposePlan,61,45,0.34,0.11
related to that,InformationComparison,61,59,0.34,0.14
as it may seem,ReaderDirectedMetadiscourse,61,60,0.34,0.14
chamber music,ExpertVocabulary,61,44,0.34,0.10
elucidate the,ExpertVocabulary,61,53,0.34,0.12
symbiotic relationship,ExpertVocabulary,61,56,0.34,0.13
can obtain,ConfidenceHedged,61,58,0.34,0.14
sharper than,InformationComparison,61,57,0.34,0.13
are lower than,InformationComparison,61,56,0.34,0.13
management systems,ExpertVocabulary,61,47,0.34,0.11
urbanites,CharacterTypes,61,48,0.34,0.11
upper-middle-class,ExpertVocabulary,61,58,0.34,0.14
mythos,ExpertVocabulary,61,49,0.34,0.11
soloists,CharacterTypes,61,43,0.34,0.10
""" n """,ExpertVocabulary,61,47,0.34,0.11
have been conducted,PurposePlan,61,57,0.34,0.13
claim :,CitationControversy,61,48,0.34,0.11
". for us ,",CitationControversy,61,59,0.34,0.14
"as i see it ,",CitationNeutral,61,59,0.34,0.14
story lines,ExpertVocabulary,61,56,0.34,0.13
we suspect that,ReaderDirectedMetadiscourseFP,61,52,0.34,0.12
hedonism,ExpertVocabulary,61,49,0.34,0.11
evidence supporting,Reasoning,61,58,0.34,0.14
debunking,Reasoning,61,57,0.34,0.13
rank the,InformationQuantities,61,58,0.34,0.14
results indicated,Reasoning,61,49,0.34,0.11
the controversy over,PurposePlan,61,59,0.34,0.14
may prevent,ConfidenceHedged,61,58,0.34,0.14
curvature of,ExpertVocabulary,61,49,0.34,0.11
free spirit,CharacterTypes,61,56,0.34,0.13
subatomic particles,ExpertVocabulary,61,51,0.34,0.12
astrophysical,ExpertVocabulary,61,43,0.34,0.10
to put an end to,PurposePlan,61,60,0.34,0.14
in order to bring,PurposePlan,61,60,0.34,0.14
could trigger,ConfidenceHedged,61,61,0.34,0.14
argue that it,CitationControversy,61,59,0.34,0.14
there has been little,PurposePlan,61,58,0.34,0.14
english major,CharacterTypes,61,49,0.34,0.11
published studies,PurposePlan,61,52,0.34,0.12
studies show,CitationAuthority,61,61,0.34,0.14
i contend,ReaderDirectedMetadiscourseFP,61,48,0.34,0.11
social theory,ExpertVocabulary,61,45,0.34,0.11
caused by an,Reasoning,61,60,0.34,0.14
474,InformationQuantities,61,45,0.34,0.11
448,InformationQuantities,61,45,0.34,0.11
social commentary,ExpertVocabulary,61,54,0.34,0.13
to further the,PurposePlan,61,58,0.34,0.14
billable,ExpertVocabulary,61,41,0.34,0.10
garden-variety,ExpertVocabulary,61,59,0.34,0.14
may put,ConfidenceHedged,61,60,0.34,0.14
we maintain,ReaderDirectedMetadiscourseFP,61,55,0.34,0.13
overwhelming evidence,ConfidenceHigh,61,57,0.34,0.13
a parent's,CharacterTypes,61,54,0.34,0.13
comparably,InformationComparison,61,53,0.34,0.12
socialized medicine,ExpertVocabulary,61,51,0.34,0.12
financial crises,ExpertVocabulary,61,51,0.34,0.12
different light,InformationComparison,61,53,0.34,0.12
can attest,CitationAuthority,61,59,0.34,0.14
clear evidence,ConfidenceHigh,61,58,0.34,0.14
in the hundreds,InformationQuantities,61,58,0.34,0.14
seemed to want,ConfidenceHedged,61,58,0.34,0.14
as if it were the,InformationComparison,61,61,0.34,0.14
paraffin,ExpertVocabulary,61,47,0.34,0.11
two-inch,InformationQuantities,61,53,0.34,0.12
parishioner,CharacterTypes,61,43,0.34,0.10
he addressed,CitationNeutral,61,57,0.34,0.13
".
the fact is",ConfidenceHigh,61,59,0.34,0.14
when he can,ConfidenceHedged,61,58,0.34,0.14
his goals,PurposePlan,61,57,0.34,0.13
second line,ExpertVocabulary,61,49,0.34,0.11
crone,CharacterTypes,61,44,0.34,0.10
cool as,InformationComparison,61,58,0.34,0.14
i have heard that,ConfidenceLow,61,56,0.34,0.13
might hold,ConfidenceHedged,61,61,0.34,0.14
navigation system,ExpertVocabulary,61,53,0.34,0.12
jokers,CharacterTypes,61,57,0.34,0.13
he collected,MethodsResultsDiscussion,61,58,0.34,0.14
is available online,ReaderDirectedMetadiscourse,61,56,0.34,0.13
when she could,ConfidenceHedged,61,61,0.34,0.14
it's the reason,Reasoning,61,57,0.34,0.13
farsi,ExpertVocabulary,61,42,0.34,0.10
new economy,ExpertVocabulary,61,46,0.34,0.11
nutter,CharacterTypes,61,43,0.34,0.10
shill,CharacterTypes,61,46,0.34,0.11
limited edition,ExpertVocabulary,61,53,0.34,0.12
from everywhere,Reasoning,61,58,0.34,0.14
might hurt,ConfidenceHedged,61,61,0.34,0.14
like a kid,InformationComparison,61,57,0.34,0.13
".
95",InformationQuantities,61,61,0.34,0.14
brown people,CharacterTypes,61,42,0.34,0.10
let's turn to,ReaderDirectedMetadiscourse,61,55,0.34,0.13
for it's,Reasoning,61,53,0.34,0.12
". like you ,",ReaderDirectedMetadiscourse,61,56,0.34,0.13
he's got to be,CharacterTypes,61,60,0.34,0.14
but here's,ReaderDirectedMetadiscourse,61,56,0.34,0.13
all i ask,ReaderDirectedMetadiscourseFP,61,57,0.34,0.13
munchkin,CharacterTypes,61,47,0.34,0.11
masseuse,CharacterTypes,61,49,0.34,0.11
he look like,InformationComparison,61,60,0.34,0.14
10 grand,InformationQuantities,61,47,0.34,0.11
was gathered,MethodsResultsDiscussion,60,60,0.34,0.14
as a point of,ReaderDirectedMetadiscourse,60,58,0.34,0.14
compelling reason,Reasoning,60,57,0.34,0.13
his perspective,CitationControversy,60,56,0.34,0.13
hydroelectric,ExpertVocabulary,60,46,0.34,0.11
might require,ConfidenceHedged,60,59,0.34,0.14
are compared,PurposePlan,60,52,0.34,0.12
demonstrating a,ConfidenceHigh,60,59,0.34,0.14
semiotics,ExpertVocabulary,60,43,0.34,0.10
means :,ReaderDirectedMetadiscourse,60,54,0.34,0.13
in order to improve,PurposePlan,60,58,0.34,0.14
city dwellers,CharacterTypes,60,53,0.34,0.12
above mentioned,ReaderDirectedMetadiscourse,60,54,0.34,0.13
emulating,InformationComparison,60,50,0.34,0.12
sense of identity,ExpertVocabulary,60,54,0.34,0.13
strong man,CharacterTypes,60,59,0.34,0.14
could contribute,ConfidenceHedged,60,60,0.34,0.14
chronic illnesses,ExpertVocabulary,60,46,0.34,0.11
".
in light of",Reasoning,60,57,0.34,0.13
national study,ExpertVocabulary,60,50,0.34,0.12
", who is an",ReaderDirectedMetadiscourse,60,59,0.34,0.14
study showed that,CitationAuthority,60,52,0.34,0.12
organist,CharacterTypes,60,44,0.34,0.10
novel of,ExpertVocabulary,60,52,0.34,0.12
chapter 3,ExpertVocabulary,60,47,0.34,0.11
viscera,ExpertVocabulary,60,47,0.34,0.11
be decided,PurposePlan,60,54,0.34,0.13
".
consequently",Reasoning,60,55,0.34,0.13
has implications for,Reasoning,60,58,0.34,0.14
use of language,ExpertVocabulary,60,54,0.34,0.13
further proof,ConfidenceHigh,60,58,0.34,0.14
some can,ConfidenceHedged,60,57,0.34,0.13
sum of money,ExpertVocabulary,60,58,0.34,0.14
first cousin,CharacterTypes,60,57,0.34,0.13
the results show,CitationAuthority,60,46,0.34,0.11
transposed,ExpertVocabulary,60,55,0.34,0.13
".
the importance of",PurposePlan,60,58,0.34,0.14
practically no,ConfidenceHedged,60,57,0.34,0.13
the results indicated that,CitationAuthority,60,50,0.34,0.12
".
student",CharacterTypes,60,55,0.34,0.13
419,InformationQuantities,60,52,0.34,0.12
516,InformationQuantities,60,50,0.34,0.12
tracking system,ExpertVocabulary,60,43,0.34,0.10
surnames,ExpertVocabulary,60,42,0.34,0.10
".
teacher",CharacterTypes,60,45,0.34,0.11
i aim to,ReaderDirectedMetadiscourseFP,60,53,0.34,0.12
recyclable,ExpertVocabulary,60,43,0.34,0.10
could solve,ConfidenceHedged,60,58,0.34,0.14
that can never,ConfidenceHigh,60,59,0.34,0.14
halfway point,ExpertVocabulary,60,57,0.34,0.13
school principal,CharacterTypes,60,53,0.34,0.12
well under,InformationQuantities,60,55,0.34,0.13
